Date,Team,Acquired,Relinquished,Notes
2011-02-04,Kings,,Hassan Whiteside,Knee
2011-02-04,Kings,,Jason Thompson,Ankle
2011-02-04,Magic,,Brandon Bass,Ankle
2011-02-04,Pistons,,Jason Maxiell,Back
2011-02-04,Raptors,,Jerryd Bayless,Knee
2011-02-04,Timberwolves,,Michael Beasley,Ankle
2011-02-05,Blazers,,Dante Cunningham,Face
2011-02-05,Hornets,,Trevor Ariza,Ankle
2011-02-05,Jazz,,Andrei Kirilenko,Ankle
2011-02-05,Pistons,,Jason Maxiell,Back
2011-02-06,Celtics,,Marquis Daniels,Spinal cord
2011-02-06,Celtics,,Shaquille O'Neal,Right Leg
2011-02-06,Clippers,,Eric Gordon,Wrist
2011-02-06,Magic,,Brandon Bass,Ankle
2011-02-07,Celtics,,Semih Erden,Adductor
2011-02-07,Celtics,,Shaquille O'Neal,Leg
2011-02-07,Jazz,,Francisco Elson,Knee
2011-02-08,Clippers,,Eric Gordon,Wrist
2011-02-08,Magic,,Brandon Bass,Ankle
2011-02-08,Mavericks,,Dominique Jones,Foot
2011-02-08,Pistons,,Chris Wilcox,Groin
2011-02-08,Pistons,,Richard Hamilton,Groin
2011-02-08,Raptors,,Alex Ajinca,Foot
2011-02-08,Timberwolves,,Darko Milicic,Hip Flexor
2011-02-08,Timberwolves,,Michael Beasley,Ankle
2011-02-09,Clippers,,Eric Gordon,Wrist
2011-02-09,Jazz,,Francisco Elson,Knee
2011-02-09,Magic,,Brandon Bass,Ankle
2011-02-09,Pistons,,Richard Hamilton,Groin
2011-02-09,Wizards,,Al Thornton,Middle Finger
2011-02-09,Wizards,,Jianlian Yi,Ankle
2011-02-10,Celtics,,Semih Erden,Adductor
2011-02-10,Celtics,,Shaquille O'Neal,Leg
2011-02-11,Clippers,,Eric Gordon,Wrist
2011-02-11,Jazz,,Raja Bell,Calf
2011-02-11,Jazz,,Ronnie Price,Toe
2011-02-11,Magic,,Brandon Bass,Ankle
2011-02-11,Mavericks,,Dominique Jones,Foot
2011-02-11,Pistons,,Richard Hamilton,Groin
2011-02-11,Raptors,,Alex Ajinca,Foot
2011-02-11,Spurs,,Tiago Splitter,Hamstring
2011-02-11,Timberwolves,,Darko Milicic,Hip Flexor
2011-02-11,Timberwolves,,Michael Beasley,Ankle
2011-02-11,Bucks,,Larry Sanders ,Back
2011-02-12,Cavaliers,,Anderson Varejao,Ankle
2011-02-12,Spurs,,Tiago Splitter,Hamstring
2011-02-12,Timberwolves,,Darko Milicic,Hip
2011-02-13,Celtics,,Semih Erden,Adductor
2011-02-13,Celtics,,Shaquille O'Neal,Leg
2011-02-13,Clippers,,Eric Gordon,Wrist
2011-02-13,Kings,,Luther Head,Knee
2011-02-13,Warriors,,Dan Gadzuric,Back
2011-02-14,Clippers,,Eric Gordon,Wrist
2011-02-15,Bobcats,,Eduardo Najera,Groin
2011-02-15,Heat,,Dexter Pittman,Knee
2011-02-15,Jazz,,Andrei Kirilenko,Ankle
2011-02-15,Jazz,,Raja Bell,Calf
2011-02-15,Jazz,,Ronnie Price,Toe
2011-02-15,Kings,,Tyreke Evans,Foot
2011-02-16,Bucks,,Ersan Ilyasova,Eye
2011-02-16,Bucks,,Keyon Dooling,Knee
2011-02-16,Celtics,,Shaquille O'Neal,Right Leg
2011-02-16,Clippers,,Eric Gordon,Wrist
2011-02-16,Grizzlies,,Rudy Gay,Shoulder
2011-02-16,Jazz,,Andrei Kirilenko,Ankle
2011-02-16,Jazz,,Raja Bell,Calf
2011-02-16,Jazz,,Ronnie Price,Toe
2011-02-16,Kings,,Tyreke Evans,Foot
2011-02-17,Mavericks,,Jose Barea ,Ankle
2011-02-17,Spurs,,Tiago Splitter,Hamstring
2011-02-21,Kings,,Francisco Garcia,Calf
2011-02-22,Celtics,Semih Erden,,Ankle
2011-02-23,Blazers,,Sean Marks,Hand
2011-02-23,Jazz,,Ronnie Price,Toe
2011-02-23,Kings,,Tyreke Evans,Foot
2011-02-23,Suns,,Zabian Dowdell,Ankle
2011-02-25,Blazers,,Gerald Wallace,Neck
2011-02-25,Bobcats,,D.J. White,Ankle
2011-02-25,Nuggets,,Melvin Ely,Ankle
2011-02-25,Spurs,,Gary Neal,Head
2011-02-25,Timberwolves,,Martell Webster,Back
2011-02-25,Bobcats,,DeSagana Diop,Achilles
2011-02-25,Bobcats,,Tyrus Thomas,Knee
2011-02-25,Kings,,Francisco Garcia,Calf
2011-02-26,Bucks,,Ersan Ilyasova,Head
2011-02-26,Kings,,Francisco Garcia,Calf
2011-02-26,Nets,,Quinton Ross,Lower back
2011-02-26,Pistons,,Tayshaun Prince,Back
2011-02-26,Pistons,,Tracy McGrady,Head
2011-02-27,Bobcats,,Tyrus Thomas,Meniscus Knee
2011-02-27,Cavaliers,,Antawn Jamison,Finger
2011-02-27,Raptors,,Andrea Bargnani,Ankle
2011-02-27,Spurs,,Gary Neal,Head
2011-02-28,Cavaliers,,Antawn Jamison,Little finger
2011-02-28,Celtics,,Delonte West,Ankle
2011-02-28,Hawks,,Kirk Hinrich,Calf
2011-02-28,Kings,,Francisco Garcia,Calf
2011-02-28,Spurs,, Tony Parker,Calf
2011-03-01,Bucks,,Andrew Bogut,Rib
2011-03-01,Magic,,Gilbert Arenas,Knee
2011-03-01,Pistons,,Tayshaun Prince,SI Joint
2011-03-02,Cavaliers,,Daniel Gibson,Quadriceps
